,family,envios,ventas,devoluciones
15,trench,109880,34714,75166
2,coat,197338,69778,127560
7,jumpsuit,487502,190260,297242
9,scarf,465861,192077,273784
0,bag,689250,225585,463665
4,fular,566536,230738,335798
11,short,631895,273393,358502
3,dress,1548203,543687,1004516
1,cardigan,1514383,654192,860191
12,skirt,1961662,738923,1222739
16,tshirt,1933330,797982,1135348
10,shirt,2191488,913182,1278306
5,jacket,2574149,988888,1585261
13,sweater,2536878,1074829,1462049
14,top,2515946,1103393,1412553
8,pant,2937356,1176652,1760704
6,jeans,3399027,1510481,1888546
